URL,Address,City,Price,Beds,Baths,Ratings
https://www.realtor.com/realestateandhomes-detail/1039-Southgate-Rd_New-Lenox_IL_60451_M86988-58515,1039 Southgate Rd Unit 1039,New Lenox,154900,2,2,3
https://www.realtor.com/realestateandhomes-detail/10522-Palos-Pl-B_Palos-Hills_IL_60465_M82526-51711,10522 Palos Pl Unit B,Palos Hills,112500,2,2,4
https://www.realtor.com/realestateandhomes-detail/10561-Palos-Pl-A_Palos-Hills_IL_60465_M81625-33551,10561 Palos Pl Unit A,Palos Hills,169900,2,2,3
https://www.realtor.com/realestateandhomes-detail/10572-Palos-Pl-A_Palos-Hills_IL_60465_M81636-88795,10572 Palos Pl Unit A,Palos Hills,137900,2,2,3
https://www.realtor.com/realestateandhomes-detail/10581-Palos-Pl-C_Palos-Hills_IL_60465_M81630-18008,10581 Palos Pl Unit C,Palos Hills,141500,2,2,3
https://www.realtor.com/realestateandhomes-detail/10644-Lynn-Dr-19_Orland-Park_IL_60467_M71745-27511,10644 Lynn Dr Unit 19,Orland Park,192000,2,3,2
https://www.realtor.com/realestateandhomes-detail/10646-Lynn-Dr-20_Orland-Park_IL_60467_M71748-25638,10646 Lynn Dr Unit 20,Orland Park,200000,2,3,2
https://www.realtor.com/realestateandhomes-detail/10837-Minnesota-Ct-58_Orland-Park_IL_60467_M75351-23104,10837 Minnesota Ct Unit 58,Orland Park,196000,2,3,2
https://www.realtor.com/realestateandhomes-detail/10840-S-84th-Ave-Apt-2C_Palos-Hills_IL_60465_M79473-14997,10840 S 84th Ave Apt 2C,Palos Hills,155000,2,2,3
https://www.realtor.com/realestateandhomes-detail/110-Somerset-Ln_Bolingbrook_IL_60440_M79837-81941,110 Somerset Ln,Bolingbrook,149999,3,3,4
https://www.realtor.com/realestateandhomes-detail/11021-S-Theresa-Cir-Apt-1C_Palos-Hills_IL_60465_M81788-56034,11021 S Theresa Cir Apt 1C,Palos Hills,172000,2,2,2
